pressure,volume
76.37843337,192.7137546
80.04069176,191.0780669
83.49949135,189.5910781
87.67039674,187.9553903
92.24821974,186.3197026
95.70701933,184.9814126
98.14852492,184.0892193
100.7934893,183.0483271
111.5768057,179.6282528
117.8840285,177.8438662
120.4272635,176.9516729
123.6826043,176.0594796
125.0050865,175.6133829
103.8453713,182.1561338
107.7110885,180.8178439
130.0915565,174.1263941
133.5503561,173.2342007
136.093591,172.4907063
137.619532,172.0446097
141.0783316,171.1524164
143.3163784,170.8550186
146.775178,169.6654275
149.2166836,169.2193309
152.0651068,168.4758364
155.2187182,167.732342
158.1688708,166.9888476
162.2380468,166.0966543
165.08647,165.5018587
168.3418108,164.9070632
180,162.7769518
190,160.9498144
200,159.122677
210,157.2955396
220,155.4684022
230,153.6412648
240,151.8141274
250,149.98699
270,146.3327152
280,144.5055778
290,142.6784404
300,140.851303
